level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
individual,AFG_2018_STEPS,Afghanistan,AFG,Yes,2018,2018,2018,STEPS,STEPS,National,both, 18-69, 18-69,1601,1896,,,,,,,,,,,1601,1896,1601,1896,,,,cardiocheck,,,,South Asia,South Asia
last round,ALB_2001_8008200,Albania,ALB,No,NA,NA,2001,"Shapo, 2003 (30)",NA,Community,urban, 25+, 25+,585,535,,,,,,,,,,,,,,,,,,,,,,Central Europe,Central and Eastern Europe
individual,DZA_2003_STEPS,Algeria,DZA,Yes,2003,2003,2003,STEPS,STEPS,Subnational,both, 25-64, 25-64,2408,1575,226,136,235,148,232,142,234,147,250,158,2408,1575,,,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,DZA_2005_TAHINA,Algeria,DZA,Yes,2005,2005,2005,Transition and Health Impact in North Africa,TAHINA,National,both, 35-70, 35-70,2534,1719,,,,,,,,,2560,1826,2534,1719,,,,,,accutrend,,,accutrend,North Africa and Middle East,Central Asia and North Africa-Middle East
summary,DZA_2008_ISOR,Algeria,DZA,Yes,2007,2009,2008,The ISOR (InSulino-resistance in ORan) Study,ISOR,Community,urban, 30-64, 30-64,409,378,409,374,408,376,408,376,408,376,409,378,409,378,,,1,1,12h overnight fast,lab,lab,lab,lab,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,DZA_2017_STEPS,Algeria,DZA,Yes,2016,2017,2017,STEPS,STEPS,National,both, 18-69, 18-69,3407,2761,,,,,,,,,3434,2780,3407,2761,3421,2776,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,ASM_1994_citMcGARVEY,American Samoa,ASM,Yes,1994,1994,1994,"McGarvey ST. Cardiovascular disease (CVD) risk factors in Samoa and American Samoa, 1990-95. Pac Health Dialog 2001; 8: 157-62",citMcGARVEY,National,both, 29+, 29+,214,142,209,129,210,134,210,134,210,134,214,142,214,142,,,1,1,,,,,,Polynesia and Micronesia,Oceania
individual,ASM_2004_STEPS,American Samoa,ASM,Yes,2004,2004,2004,STEPS,STEPS,National,both, 25-64, 25-64,735,607,,,,,,,,,,,735,607,,,,,,accutrend,,,,Polynesia and Micronesia,Oceania
individual,ARG_2005_ENNyS,Argentina,ARG,Yes,2005,2005,2005,Encuensta Nacional de Nutrición y Salud 2005,ENNyS,National,both, 10-49, ,5262,,,,,,,,,,,,5262,,,,,,,lab,,,,Southern and Tropical Latin America,Latin America and Caribbean
summary,ARG_2005_CARMELA,Argentina,ARG,Yes,2004,2005,2005,CArdiovascular Risk factors Multiple Evaluation in Latin America (CARMELA),CARMELA,Community,urban, 25-64, 25-64,748,734,743,718,748,734,748,734,748,734,748,734,,,,,1,1,12+,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
individual,ARG_2012_CESCAS,Argentina,ARG,Yes,2011,2012,2012,CESCAS Study,CESCAS,Community,urban, 30-79, 30-79,2351,1560,2345,1547,2350,1559,2350,1559,2350,1559,2350,1560,2351,1560,2384,1590,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,ARG_2018_ENFR,Argentina,ARG,Yes,2018,2018,2018,Encuesta Nacional de Factores de Riesgo 2018,ENFR,National,both, 18+, 18+,2909,2002,,,,,,,,,,,2909,2002,16632,12592,,,,accutrend,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,ARM_2016_STEPS,Armenia,ARM,Yes,2016,2016,2016,STEPS,STEPS,National,both, 18-69, 18-69,1246,530,,,1244,525,1161,480,1161,480,,,1246,530,1248,531,,,,cardiocheck,,cardiocheck,,Central Asia,Central Asia and North Africa-Middle East
individual,AUS_1980_RFPS,Australia,AUS,Yes,1980,1980,1980,Risk Factor Prevalence Study,RFPS,National,urban, 25-64, 25-64,2756,2739,2552,2499,2564,2547,2564,2546,2564,2546,2756,2740,2756,2739,2781,2756,1,1,,,,,,High-income English-speaking countries,High-income Western countries
individual,AUS_1983_RFPS,Australia,AUS,Yes,1983,1983,1983,Risk Factor Prevalence Study,RFPS,National,urban, 25-64, 25-64,3732,3655,3701,3541,3759,3650,3711,3596,3711,3596,3727,3644,3732,3655,3813,3733,1,1,,,,,,High-income English-speaking countries,High-income Western countries
